StartDate,EndDate,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q9,Q8,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11,Q12,Q12_6_TEXT,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_7_TEXT,Q19,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q18,Q23,Q24,Q25,Q26,Q26_1_TEXT,Q27,Q27_1_TEXT,Q28,Q29,Q30,Q31,Q32,SCREENED
10/5/2017,10/5/2017,204.17.154.202,100,430,1,10/5/2017,R_baBRGWUpgxar8Fr,49.099700927734,-122.65260314941,anonymous,EN,150,5,5,2,2,1,2,1,3,1, ,1,1, , , , ,3,5,5,3,1,1,3,1,2,5,5,1,5,2,2,1, ,3,1,1,4,3,4,4,5,4,1, , , ,1, , , , ,"There needs to be a lot more effort by the City of Vancouver to accomodate for convenient carsharing parking spaces: especially in prime location, carsharing spots shouldn't be reduced to the 5th level of an underground parking lot, it should be a lot easier to access.", , , , , ,1,2,2,1,3,1,2,1,1,3,2,1,5,1, 
10/5/2017,10/5/2017,142.22.242.201,100,489,1,10/5/2017,R_3qlIcRiXYbUv3Nc,49.255096435547,-123.06669616699,anonymous,EN,150,5,6,2,1,1,2,1,3,1, , , , , , , ,3,4,3,5,4,1,2,2,2,5,4,3,3,2,1,1, ,3,3,2,4,3,3,4,5,4, , , , , , , , , ,"I like the association with other car share programs in other cities.  My son lives in Montreal and when I visit there I have access to Communauto, the local car share.", , , , , ,1,3,5,1,3,1,2,1,1,1,1,3,5,1, 
10/5/2017,10/5/2017,24.86.148.126,100,315,1,10/5/2017,R_yIaE9NLPAMkrqNz,49.261993408203,-123.09230041504,anonymous,EN,150,5,6,3,1,2,2,2,2,1, ,1,1, , , , ,3,5,5,5,1,5,1,2,2,5,5,3,4,1,2,3, ,4,5,5,4,5,3,5,5,5,1,1, , , , , , , , , , , , , ,1,2,2,2,3,1,1,1,0,1,2,3,3,1, 
10/5/2017,10/5/2017,184.66.41.196,100,627,1,10/5/2017,R_3lz9bGtND62Zd9x,48.47770690918,-123.3657989502,anonymous,EN,154,6,1,5,3,1,3,3,1,1, , , , , , , ,1,5,5,5,1,5,1,1,1,5,5,5,5,1,1,1, ,2,1,1,2,5,5,5,5,5,2, , , , , , , , , , ,1,1,1, , ,2,1,1,4,1,1,1,0,1,2,2,2,1, 
10/5/2017,10/5/2017,70.36.63.122,100,365,1,10/5/2017,R_1gjfZ4Bc7IQRRkX,49.278793334961,-123.11389923096,anonymous,EN,150,7,2,6,1,2,2,2,1,1, ,1, , , , , ,3,4,5,5,3,4,1, ,2,5,4,1,2,1,1,1, ,1,2,5,4,5,4,4,5,4,2, , , , , , , , , , , , ,1, , ,2,2,1,4,1,2,1,0,1,1,3,5,1, 
10/5/2017,10/5/2017,174.6.100.184,100,377,1,10/5/2017,R_CghcirutYmw4iPf,49.278793334961,-123.11389923096,anonymous,EN,150,6,2,3,1,2,3,2,1,1, , , , , , , ,1,2,4,5,3,1,1,2,2,3,5,1,3,2,1,2, ,4,5,5,3,4,5,5,3,5,2, , , , , , , , ,Cleaner inside, , , ,1, , ,2,1,1,3,1,1,1,0,1,2,2,2,1, 
10/5/2017,10/5/2017,174.6.110.169,100,378,1,10/5/2017,R_2ZKAsuTFeH2sJzJ,49.278793334961,-123.11389923096,anonymous,EN,150,5,7,4,1,1,2,2,1,1, , ,1, , , , ,1,1,2,4,4,4,1,2,2,5,5,1,5,1,2,3, ,5,3,5,2,4,1,3,5,4,2, , , , , , , , ,"the fines are very severe when you just start and make a minor mistake, almost a disincentive to continue using the carshare!", ,1, ,1, , ,2,1,2,3,1,2,1,0,1,2,2,3,1, 
10/5/2017,10/5/2017,174.6.228.159,100,376,1,10/5/2017,R_279lBm7TqPrCrgF,49.248001098633,-123.09130096436,anonymous,EN,150,3,5,6,2,1,3,1,1,1, ,1,1, , , , ,1,4,5,5,5,1,1,2,2,5,5,5,5,1,2,3, ,1,2,2,5,3,5,5,1,5, , , , , , , , , , , , , , , ,1,2,1,1,3,1,1,1,0,1,2,2,2,1, 
10/5/2017,10/5/2017,104.142.122.235,100,399,1,10/5/2017,R_2YE51dLojZgUps9,48.426696777344,-123.36550140381,anonymous,EN,154,7,3,3,1,1,2,1,1,1, , , , , , , ,1,1,5,2,5,1,1,2,1,5,2,4,4,1,2,3, ,5,2,5,1,5,4,4,5,4,2, , , , , , , , , , ,1, , , , ,2,1,2,2,1,2,1,0,2,2,2,2,1, 
10/5/2017,10/5/2017,72.143.218.35,100,517,1,10/5/2017,R_2rvZTNkhKGOR5AT,49.216705322266,-122.91670227051,anonymous,EN,143,6,2,2,1,1,2,1,3,1, , ,1, , , , ,2,5,5,5,5,4,1,2,2,5,5,2,5,1,2,3, ,5,5,1,5,4,5,5,5,4,2, , , , , , , , ,"Burnaby is a gaping hole for Evo or any other one-direction carshare option. If this opened up, my use would increase and my need for another personal vehicle would decrease as a result.",1,1, ,1, , ,2,1,1,3,1,2,1,1,3,2,2,5,1, 
10/5/2017,10/5/2017,216.81.62.52,100,327,1,10/5/2017,R_3HnTjAVAVEkrmZG,49.278793334961,-123.11389923096,anonymous,EN,150,7,1,5,1,1,5,1,1,1, ,1, , , , , ,1, ,1,5,3,3,1,1,2,5,5,1,4,3,1,1, ,4,5,5,5,5,5,5,5,5, , , , , , , , , , , , ,1, , , ,1,1,1,3,1,2,1,0,1,2,3, ,1, 
10/5/2017,10/5/2017,205.236.14.3,100,383,1,10/5/2017,R_20S43SWsykTN2fJ,46.852798461914,-71.257301330566,anonymous,EN,154,5,4,3,1,1,3,4,1,1, , , , , , , ,2,1,5,2,3,3,2,1,1,5,4,3,4,1,1,1, ,3,1,2,2,3,5,2,5,3,1,1, , , , , , , , , , , ,1, , ,2,1,1,2,1,2,1,0,1,2,3,4,1, 
10/5/2017,10/5/2017,99.199.54.57,100,393,1,10/5/2017,R_1LvbQiWCIdCcedq,49.249206542969,-123.11039733887,anonymous,EN,150,4,1,3,1,1,6,2,2,1, ,1,1, , , , ,2,3,5,5,1,3,3,1,1,5,5,5,5,1,2,3, ,5,5,1,5,3,3,3,4,5,2, , , , , , , , , , , , , , ,1,3,1,2,3,1,2,1,1,1,2,1,4,1, 
10/5/2017,10/5/2017,207.23.171.232,100,245,1,10/5/2017,R_2uWN4bQAiEnS1c6,49.25,-122.94999694824,anonymous,EN,138,6,1,4,1,2,2,3,3,1, , , , , , , ,3,5,5,4,2,1,1, ,2,5,5,1,1,2,1,2, ,4,3,2,5,3,2,5,4,5, , , , , , , , , , , , , , , ,1,3,2,4,3,1,2,1,1,2,1,3,5,1, 
10/5/2017,10/5/2017,206.87.189.8,100,802,1,10/5/2017,R_3m9py2IUXXzsO4K,48.426696777344,-123.36550140381,anonymous,EN,154,7,6,2,2,2,2,2,7,1, , , , , , , ,3,4,4,5,4,1,1, ,2,2,2,1,5,4,2,3, ,2,3,4,5,3,1,5,5,4,1, , , ,1, , , , , ,1,1, ,1, , ,2,1,1,4,1,2,1,1,2,2,2,2,1, 
10/5/2017,10/5/2017,24.114.37.188,100,496,1,10/5/2017,R_3iJad6cAYXzAuVr,53.550003051758,-113.5,anonymous,EN,147,7,2,7,4,1,4,3,1,1, , , , , , , ,1,4,5,4,1,1,1,1,1,5,4,2,4,2,1,1, ,2,2,4,5,3,3,3,4,4,2, , , , , , , , , , ,1, , , , ,1,2,1,4,1,1,1,0,2,2,2,3,1, 
10/5/2017,10/5/2017,154.5.171.249,100,473,1,10/5/2017,R_3Ld0r5QK8DProSl,49.260299682617,-123.14599609375,anonymous,EN,150,6,1,4,1,1,1,2,1,1, , , , , , , ,4,5,5,5,1,1,1,2,1,5,5,1,5,5,2,3, ,2,3,5,5,5,5,5,5,5,1,1, , , , , , , , , , , ,1, , ,3,5,2,4,1,1,1,0,1,1,3,1,1, 
10/5/2017,10/5/2017,139.173.54.12,100,391,1,10/5/2017,R_33qGRZW0H196ZQq,49.247497558594,-123.12100219727,anonymous,EN,150,3,6,2,2,2,2,2,1,1, ,1, , , , , ,4,5,5,4,1,1,2, ,1,5,4,4,4,2,1,1, ,4,2,4,2,5,2,5,4,5, , , , , , , , , ,carsharing programs make it so much easier to be car-free in the city; really appreciate the prevalence in Vancouver.
i use car rentals for longer trips / vacations in the winter as it's cheaper; in the summer it's cheaper to use a carshare like modo., , , , , ,1,2,2,2,3,1,2,1,0,1,1,2,6,1, 
10/5/2017,10/5/2017,206.174.193.169,100,684,1,10/5/2017,R_AzZV6CdhCTublCx,49.276702880859,-123.13000488281,anonymous,EN,150,7,6,6,1,1,4,5,1,1, ,1,1, , , , ,3,4,4,5,1,3,1, ,2,5,5,1,1,2,2,2, ,4,5,5,4,5,5,5,4,5,2, , , , , , , , ,"- having a car in Vancouver is tough, but not having a car is even worse (getting out and enjoy beautiful BC)
- car sharing is perfect to control costs (use if you can afford it, scale back to save some money and take the bus/bike instead)
- car sharing is often more convenient than owning a car, e.g. one-way trips where you leave the car and share a ride home or bus/bike", ,1, , , , ,2,1,1,3,1,2,1,1,1,2,1, ,1, 
10/5/2017,10/5/2017,70.67.218.20,100,799,1,10/5/2017,R_32VIUhc1Meydw88,49.160903930664,-123.98249816895,anonymous,EN,155,5,3,2,1,2,3,2,1,1, , , , , , , ,2,5,5,5,1,1,1, ,1,5,5,2,1,1,2,6,"Because of where I live, on top of the cost of owning/running the car I would have to pay an additional $115/month for parking alone, and face very real risks of vandalism and car theft.  Rarely do I pay more than $100/month for Modo",5,5,5,5,5,5,5,5,4,2, , , , , , , , ,"I live in Nanaimo, and use the modo cars at Horseshoe Bay when I need to visit Vancouver.  A huge cost savings as the alternative would be to fly over.", , ,1,1, , ,1,5,1,1,1,1,1,0,1,1,3,4,1, 
10/5/2017,10/5/2017,72.35.26.189,100,447,1,10/5/2017,R_1pAMyXXlH2Onlz5,43.631896972656,-79.371597290039,anonymous,EN,139,5,3,6,1,2,2,1,1,1, ,1, , , , , ,1,1,4,4,3,5,1, ,2,5,4,3,3,2,1,2, ,3,3,3,5,4,4,4,3,4,2, , , , , , , , , , , , , , ,1,1,1,1,3,1,2,1,0,1,2,3,5,1, 
10/5/2017,10/5/2017,174.7.118.176,100,468,1,10/5/2017,R_3qL2GY9OvYm1XZX,49.25,-123.13330078125,anonymous,EN,150,6,2,3,1,1,6,1,1,1, ,1,1, , , , ,3,3,5,5,2,1,4,1,1,5,5,4,5,5,1,1, ,5,5,3,5,3,4,4,2,5,2, , , , , , , , , , ,1, , , , ,3,2,1,3,1,2,1,0,2,1,2,5,1, 
10/5/2017,10/5/2017,139.173.54.12,100,512,1,10/5/2017,R_2bVIhr9dYxVo7UB,49.247497558594,-123.12100219727,anonymous,EN,150,7,7,2,1,1,2,1,2,1, ,1,1, , , , ,2,1,3,5,5,1,1,2,2,3,5,1,1,1,1,1, ,1,3,1,5,1,5,5,5,5,1,1, , , , , , , ,clearer/standard parking rules between all companies., , , , , ,1,2,1,1,4,1,1,1,0,1,2,3,5,1, 
10/5/2017,10/5/2017,23.16.33.173,100,623,1,10/5/2017,R_3qDV0tqgOM9Z20r,49.261993408203,-123.09230041504,anonymous,EN,150,5,2,2,1,1,2,3,5,1, , , , , , , ,3,2,5,5,5,3,4,1,2,3,3,3,4,1,1,5, ,1,1,1,1,2,2,2,5,5,2, , , , , , , , ,"If you live downtown or transit, there are lots of options. Housing affordability seems to conversely relate to transportation options. I love the concept of carsharing but it is just too expensive if you need it more than a few times a month. Yet public transit (i.e. bus) is completely unreliable if you're relying on it to get you somewhere on time and in a reasonable amount of time. I wish there was something for people who live outside of the ""core"" areas (seeking affordable housing) and who cannot rely on the bus.", ,1, , , , ,2,3,2,3,1,2,1,1,2,1,2, ,1, 
10/5/2017,10/5/2017,38.88.6.138,100,461,1,10/5/2017,R_YRoHTqfGWmA8hu9,49.278793334961,-123.11389923096,anonymous,EN,150,7,2,6,1,1,2,2,2,1,1,1,1, , ,1, ,4,5,5,5,4,1,1, ,1,5, ,5,4,4,2,2, ,3,2,4,4,5,5,5,5,5,1,1, , , , , , , , , , , , , ,1,3,2,2,3,1,2,1,1,1,2,2,4,1, 
10/5/2017,10/5/2017,142.103.162.73,100,471,1,10/5/2017,R_3qx5EcsXRJ08SOJ,49.463500976562,-122.82199859619,anonymous,EN,149,7,2,2,6,2,1,2,6,1, , , , , , , ,2,5,1,1,5,1,1,1,2,1,3,1,1,1,1,5, ,1,1,1,1,3,5,4,6,4,1, , ,1, ,1,1, , ,There is a need to increase car sharing options south of the fraser river. Surrey especially would benefit from having modo cars at Guildford Mall and other high use locations.,1, , , , , ,3,2,3,3,1,2,1,1,2,2,2,3,1, 
10/5/2017,10/5/2017,66.183.130.90,100,27,1,10/5/2017,R_3R2aWb4sclGKZnJ,49.188598632812,-122.93840026855,anonymous,EN,159, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
10/5/2017,10/5/2017,66.46.112.107,100,618,1,10/5/2017,R_1eJzOXbaejAeuD6,49.278793334961,-123.11389923096,anonymous,EN,150,4,5,2,1,1,2,2,1,1, ,1,1, , , , ,5,4,5,5,3,1,1,1,1,5,5,1,2,1,2,2, ,5,5,5,5,5,5,5,5,5,2, , , , , , , , ,"It's great to have the variety of carsharing services, round-trip and one-way - they work well together.", , , , , ,1,1,4,1,3,1,1,1,0,1,2,2,4,1, 
10/5/2017,10/5/2017,172.103.159.43,100,544,1,10/5/2017,R_1LLF2J42FNJstYT,49.261993408203,-123.09230041504,anonymous,EN,150,5,6,2,2,1,2,2,3,1, , , , , , , ,3,5,3,5,5,1,3, ,1,4,3,1,4,4,1,1, ,3,1,1,5,3,2,3,5,3, , , , , , , , , , , , , , , ,1,2,3,1,3,1,2,1,1,1,1,3,6,1, 
10/5/2017,10/5/2017,184.94.96.50,100,365,1,10/5/2017,R_SBr8HJiQsJyzMhb,43.640396118164,-79.39949798584,anonymous,EN,154,7,1,2,1,1,3,1,1,1, , , , , , , ,2,5,5,5,4,1,1,1,2,5,5,4,1,2, ,1, ,2,3,5,5,5,3,5,5,5,2, , , , , , , , , , ,1,1, , , ,2,1,2,2,1,1,1,0,1,2,2,3,1, 
10/5/2017,10/5/2017,24.68.12.43,100,587,1,10/5/2017,R_3D5V0iWaWMfJrIv,48.449600219727,-123.41929626465,anonymous,EN,154,6,1,4,2,3,2,1,1,1, , , , , , , ,3,5,4,3,4,1,3,2,2,5,4,2,4,2,2,3, ,2,2,4,2,4,2,5,5,4,2, , , , , , , , , , , , ,1, , ,2,2,2,3,1,1,1,0,1,1,2,3,1, 
10/5/2017,10/5/2017,184.69.2.34,100,354,1,10/5/2017,R_1gFPeImzmpMDK7o,48.479293823242,-123.52709960938,anonymous,EN,154,7,2,2,1,1,2,4,1,1, , , , , , , ,4,2,4,4,3,1,1, ,2,2,5,1,5,2,1,4, ,1,2,1,4,1,4,3,2,3,1, , , , , , ,1,Availability and cost of car share vehicles became worse.,Carsharing in Vancouver seems to be a hell of a lot earlier than carsharing in Victoria., ,1, , , , ,1,1,2,3,1,2,1,0,1,2,3,5,1, 
10/5/2017,10/5/2017,174.7.166.116,100,665,1,10/5/2017,R_22xFbBRoCKuJfN1,49.29899597168,-123.14080047607,anonymous,EN,139,6,2,6,1,1,2,1,1,1, , , , , , , ,1,1,4,5,3,1,1,2,2,5,1,1,2,2,1,1, ,2,2,5,1,4,2,4,2,4,2, , , , , , , , , , , , , , ,1,1,1,1,3,1,2,1,0,1,2,3,5,1, 
10/5/2017,10/5/2017,142.103.119.97,100,365,1,10/5/2017,R_2CoWIrlMNt5tuG2,49.463500976562,-122.82199859619,anonymous,EN,150,6,4,6,1,2,2,1,2,1, ,1,1, , , , ,3,4,5,5,5,1,1, ,2,4,4,3,3,3,1,5, ,3,3,3,3,3,4,3,4,4,2, , , , , , , , , , , , , , ,1,2,1,2,4,1,1,1,1,1,1,2,5,1, 
10/5/2017,10/5/2017,66.46.112.107,100,273,1,10/5/2017,R_1OlrZnclwX1Haf4,49.278793334961,-123.11389923096,anonymous,EN,150,7,3,6,1,2,3,1,1,1, ,1,1, , , , ,4,3,5,5,1,1,1,1,1,5,5,5,5,1,2,3, ,2,3,4,4,4,3,4,5,4,1,1, , , , , , , , , , , , , ,1,2,1,2,4,1,0,1,0,1,1,2,3,1, 
10/5/2017,10/5/2017,69.196.64.74,100,393,1,10/5/2017,R_1NyF6B1Nbgbxkxr,49.260299682617,-123.14599609375,anonymous,EN,150,7,7,6,1,2,2,2,2,1, ,1, , , , , ,3,4,3,5,3,1,4, ,2,4,2,5,4,3,2,3, ,4,3,2,3,3,5,4,5,4,1,1, , , , , ,1,"Even with a shared vehicle, finding parking can be a hassle.", , , , , , ,1,1,2,1,3,1,1,1,0,1,2,2,3,1, 
10/5/2017,10/5/2017,206.12.197.175,100,260,1,10/5/2017,R_1CI4qR2TG0DxGfS,49.463500976562,-122.82199859619,anonymous,EN,150,7,1,7,2,1,2,3,3,1, , , , , , , ,1,3,4,5,5,4,2,2,2,5,2,1,3,4,2,4, ,2,3,5,3,4,3,4,2,4,2, , , , , , , , ,Awesome!, ,1, , ,1, ,1,1,1,4,1,3,1,2,1,2,1,2,1, 
10/5/2017,10/5/2017,24.84.153.156,100,717,1,10/5/2017,R_3FWMHt3S50SPTis,49.279495239258,-123.06669616699,anonymous,EN,150,7,4,5,1,1,2,2,1,1, , , , , , , ,2,5,5,5,5,1,1,2,2,5,5,5,5,1, ,1, ,5,1,1,1,5,5,5,4,5,2, , , , , , , , ,I'm glad Modo is available. Last week my brother and his wife gave birth to a baby in the middle of the night. I was able to easily and affordably be there in time for the baby and throughout the night. I also used Modo throughout that same week to move to a new house instead of U-Haul which I cannot rely on to make a vehicle available even if I book it. Modo has helped me in a pinch a number of times!, ,1, , , , ,2,1,2,3,1,2,1,0,1,2,3, ,1, 
10/5/2017,10/5/2017,209.53.182.36,100,554,1,10/5/2017,R_1OOVQKDS0i26Sf0,49.276702880859,-123.13000488281,anonymous,EN,150,5,2,7,1,2,2,4,1,1, ,1,1, , , , ,3,5,5,5,5,1,1,1,1,5,4,5,5,2,1,1, ,4,3,4,4,4,5,4,3,5,1,1, , , , , , , , , ,1, ,1, , ,1,2,1,4,1,1,1,0,1,2,3,4,1, 
10/5/2017,10/5/2017,108.180.250.228,100,337,1,10/5/2017,R_25N7vO8SepKKAfw,49.279495239258,-123.06669616699,anonymous,EN,150,7,1,5,1,1,1,1,1,1, , , , , , , ,5,1,4,5,5,1,1,2,2,5,5,5,1,5,2,3, ,5,5,5,5,5,5,5,5,5,2, , , , , , , , , , ,1, ,1, , ,2,2,1,4,1,1,1,0,1,2,1,2,1, 
10/5/2017,10/5/2017,216.251.146.26,100,596,1,10/5/2017,R_2y9L446nLKwp3je,49.15510559082,-122.91239929199,anonymous,EN,150,7,3,7,1,2,3,2,1,1, ,1,1, , , , ,2,5,4,5,2,2,1,1,1,5,5,4,4,2,2,2, ,4,5,3,4,4,3,4,5,5,2, , , , , , , , ,It is very easy to use and we appreciate that we can park our carshare in Resident Permit zones., , , , , ,1,2,1,1,4,1,2,1,0,1,2,2,5,1, 
10/5/2017,10/5/2017,184.68.8.194,100,382,1,10/5/2017,R_1ifILq4DOunbcl0,49.286605834961,-123.1157989502,anonymous,EN,150,6,1,6,1,2,2,1,1,1, ,1, , , , , ,2,4,5,4,2,5,1,1,2,5,4,1,2,2,2,3, ,3,3,4,2,5,4,5,5,5,2, , , , , , , , , , , , ,1, , ,1,1,2,4,1,8,1,0,1,2,2, ,1, 
10/5/2017,10/5/2017,142.104.65.152,100,506,1,10/5/2017,R_dcyLnDqiKnCTcAx,48.426696777344,-123.36550140381,anonymous,EN,154,5,6,2,1,2,2,2,6,1, , , , , , , ,4,3,4,5,4,2,3, ,2,4,4,2,2,2,1,5, ,1,1,3,4,5,5,3,5,4,1, , , ,1, , , , ,"Great option, and I am pleased that Modo is doing well.   I much prefer the co-op and homegrown model to things like Zipcar.", , , ,1, , ,1,2,1,2,1,2,1,1,3,1,3,6,1, 
10/5/2017,10/5/2017,24.87.206.180,100,389,1,10/5/2017,R_1KvbOfrCshfmgze,49.255096435547,-123.06669616699,anonymous,EN,150,5,1,5,1,1,2,2,1,1, , , , , , , ,3,5,4,4,4,1,1,2,1,4,4,4,5,2,1,1, ,1,1,2,1,1,1,3,5,2,2, , , , , , , , , ,1,1, , , , ,3,3,1,3,1,2,1,0,1,2,3, ,1, 
10/5/2017,10/5/2017,209.90.185.162,100,596,1,10/5/2017,R_3lQgy0LQFlXOVfm,49.279495239258,-123.06669616699,anonymous,EN,150,6,4,3,1,2,2,2,1,1, , , , , , , ,4,5,5,5,5,4,3,1,2,5,5,2,4,2,1,1, ,5,3,5,5,5,5,5,3,5,1,1, , , , , ,1,"also bought a motorcycle, but for fun, and less for transportation.",the lower you make the prices the more people will use them for sure., ,1, ,1, , ,2,2,1,3,1,2,1,1,1,2,2,4,1, 
10/5/2017,10/5/2017,128.189.190.196,100,748,1,10/5/2017,R_305Lp4HEcloi0Jd,49.463500976562,-122.82199859619,anonymous,EN,150,7,1,7,1,1,3,1,1,1, , , , , , , ,1,4,5,4,2,1,4,1,2,4,5,4,4,3, ,4, ,1,1,1,1,3,3,2,1,3,2, , , , , , , , , , , , ,1, , ,2,1,4,4,1,1,1,0,1,2,2, ,1, 
